Class,Accuracy,Correct,Total
orange,97.0,97,100
chair,96.0,96,100
wardrobe,96.0,96,100
skyscraper,96.0,96,100
motorcycle,95.0,95,100
hamster,95.0,95,100
tank,94.0,94,100
aquarium_fish,94.0,94,100
keyboard,94.0,94,100
sunflower,94.0,94,100
road,93.0,93,100
skunk,93.0,93,100
lawn_mower,93.0,93,100
television,93.0,93,100
chimpanzee,93.0,93,100
pickup_truck,93.0,93,100
butterfly,93.0,93,100
palm_tree,92.0,92,100
cockroach,92.0,92,100
tractor,92.0,92,100
lion,91.0,91,100
sea,91.0,91,100
bee,91.0,91,100
cup,91.0,91,100
bicycle,91.0,91,100
trout,90.0,90,100
bottle,90.0,90,100
streetcar,90.0,90,100
rocket,90.0,90,100
tiger,90.0,90,100
apple,90.0,90,100
orchid,89.0,89,100
clock,89.0,89,100
raccoon,88.0,88,100
camel,88.0,88,100
pear,87.0,87,100
whale,87.0,87,100
train,87.0,87,100
bridge,87.0,87,100
mushroom,86.0,86,100
spider,86.0,86,100
castle,86.0,86,100
kangaroo,85.0,85,100
cloud,85.0,85,100
beetle,85.0,85,100
squirrel,85.0,85,100
mountain,85.0,85,100
ray,85.0,85,100
crab,84.0,84,100
telephone,84.0,84,100
wolf,84.0,84,100
bed,84.0,84,100
lamp,84.0,84,100
sweet_pepper,83.0,83,100
rose,83.0,83,100
plain,83.0,83,100
snail,83.0,83,100
tulip,83.0,83,100
turtle,82.0,82,100
worm,82.0,82,100
caterpillar,82.0,82,100
can,82.0,82,100
cattle,82.0,82,100
plate,81.0,81,100
dinosaur,81.0,81,100
elephant,81.0,81,100
house,81.0,81,100
rabbit,81.0,81,100
porcupine,80.0,80,100
seal,80.0,80,100
bear,80.0,80,100
fox,79.0,79,100
leopard,79.0,79,100
couch,78.0,78,100
snake,78.0,78,100
dolphin,76.0,76,100
forest,76.0,76,100
flatfish,76.0,76,100
maple_tree,76.0,76,100
table,75.0,75,100
crocodile,75.0,75,100
lizard,75.0,75,100
mouse,74.0,74,100
poppy,74.0,74,100
shark,73.0,73,100
lobster,73.0,73,100
shrew,73.0,73,100
beaver,72.0,72,100
man,70.0,70,100
bus,69.0,69,100
oak_tree,68.0,68,100
baby,67.0,67,100
pine_tree,67.0,67,100
possum,66.0,66,100
woman,66.0,66,100
willow_tree,65.0,65,100
otter,65.0,65,100
bowl,64.0,64,100
girl,61.0,61,100
boy,57.99999999999999,58,100
