True Class,Predicted Class,Count
man,woman,50
boy,girl,38
girl,woman,38
seal,otter,36
maple_tree,oak_tree,35
rose,tulip,35
boy,woman,31
plate,bowl,23
baby,girl,21
baby,woman,21
